"iso","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"BRA",2001,2746361.5567061217,1177964710.5619311
"BRA",2002,3507049.4403590267,1611051644.662435
"BRA",2003,3248526.734428089,1478305310.9691563
"BRA",2004,3848770.789708777,1884753108.3877168
"BRA",2005,3486562.705496236,1816124252.2776387
"BRA",2006,2876804.7469672244,1460418720.0421457
"BRA",2007,2621820.177926481,1280186889.3580432
"BRA",2008,2444308.0383169167,1243626807.9305975
"BRA",2009,1817901.2327587297,941143962.1161507
"BRA",2010,2688896.1762660127,1385966798.7927551
"BRA",2011,1923363.694546669,1035820338.3989785
"BRA",2012,2918633.1410240186,1516838370.9523335
"BRA",2013,1945506.2526936703,1093546396.0513077
"BRA",2014,2693134.2954895515,1563108507.1542668
"BRA",2015,2222772.417530961,1398101594.1781836
"BRA",2016,5378844.034540875,3306076820.2957196
"BRA",2017,4519833.171433771,2711123719.2630606
"BRA",2018,2948462.080269405,1871296361.8674126
"BRA",2019,2696748.799254855,1740522346.2490911
"BRA",2020,3291391.786526158,1961237561.167337
