"iso","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"DEU",2001,15286.380567887272,6105155.373413356
"DEU",2002,15303.262374891467,6438307.9074114775
"DEU",2003,6448.617531415097,2900728.5435140473
"DEU",2004,44939.98180329039,20117185.665877685
"DEU",2005,39738.50154297575,17833083.7564871
"DEU",2006,42652.88486882002,20105530.613277737
"DEU",2007,93223.62502261647,46389110.74292498
"DEU",2008,61696.171085770395,30613265.037928145
"DEU",2009,28761.543051770535,14149088.544198874
"DEU",2010,75677.99610789664,38914374.01953678
"DEU",2011,34271.55204556293,16745618.780124018
"DEU",2012,26007.353951442336,13131924.14032009
"DEU",2013,15499.368519914473,7403715.646560102
"DEU",2014,21169.343208057362,10260505.880094642
"DEU",2015,12929.492897561946,6718295.7851196565
"DEU",2016,26877.059203681296,14229283.43793716
"DEU",2017,33000.27868154503,17491443.433764845
"DEU",2018,52237.22545555111,29799392.390770767
"DEU",2019,108232.51080712423,62031774.68077585
"DEU",2020,186939.63719393307,112737895.52170035
