"iso","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"LTU",2001,7961.687395217165,2101634.2794480883
"LTU",2002,10344.838189749196,2754494.1737036956
"LTU",2003,8916.009263466614,2440584.2436907412
"LTU",2004,13100.967028295541,3672501.9623794444
"LTU",2005,20384.543333327005,5792159.848283413
"LTU",2006,17449.726870591916,5119643.130751149
"LTU",2007,16036.749411474662,4888809.727763121
"LTU",2008,15203.365864173365,4728438.768510765
"LTU",2009,14407.629476529257,4553225.50213509
"LTU",2010,21666.890434322035,7022169.682186003
"LTU",2011,21735.155513642407,7492079.611495736
"LTU",2012,17602.90055783932,5972426.212596566
"LTU",2013,13922.776643101342,4771163.213182021
"LTU",2014,15972.31868618218,5549628.357104136
"LTU",2015,15794.33939266484,5634608.790144739
"LTU",2016,25531.687123812935,9109719.972487189
"LTU",2017,25803.692644783045,9456163.829543589
"LTU",2018,19749.622186164725,7462790.812724321
"LTU",2019,24565.247559068826,9349698.92332248
"LTU",2020,22970.48387309393,8904267.920865985
