"iso","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"THA",2001,36101.943587252776,18225399.536288988
"THA",2002,60882.18973660286,30993356.280736513
"THA",2003,58447.94220100269,29422372.827670377
"THA",2004,91835.29433756434,46467487.6104268
"THA",2005,84287.0600426102,43939613.510491915
"THA",2006,99820.57963343899,50383243.43410459
"THA",2007,92628.55864115474,47013813.3499507
"THA",2008,80143.31797919095,41127423.724460654
"THA",2009,132690.26703202745,68953590.79920122
"THA",2010,134984.30930408282,70942338.45681505
"THA",2011,94544.69378047746,48485269.77287964
"THA",2012,114508.12073492611,57494293.16018381
"THA",2013,84754.4124611593,44956709.744448386
"THA",2014,137614.6337422561,75064741.91682601
"THA",2015,120807.65603115945,67155673.60950808
"THA",2016,171638.61546868656,95207179.0695319
"THA",2017,196456.50627744177,113282377.27429669
"THA",2018,133532.58104158295,77468058.76100633
"THA",2019,129794.03169620152,74270578.49777868
"THA",2020,119414.18620692243,68674491.65801409
